Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
23	0.101325	0.0011966	835.70	0	0	0	0	0	0	0	1.8377E-05	0	na
23	0.150000	0.0017775	562.58	0	0	0	0	0	0	0	1.8382E-05	0	na
23	0.200000	0.0023596	423.81	0	0	0	0	0	0	0	1.8387E-05	0	na
23	0.250000	0.0029478	339.23	0	0	0	0	0	0	0	1.8392E-05	0	na
23	0.300000	0.0035323	283.10	0	0	0	0	0	0	0	1.8397E-05	0	na
23	0.350000	0.0041510	240.90	0	0	0	0	0	0	0	1.8402E-05	0	na
23	0.400000	0.0047400	210.97	0	0	0	0	0	0	0	1.8407E-05	0	na
23	0.450000	0.0052990	188.71	0	0	0	0	0	0	0	1.8412E-05	0	na
23	0.500000	0.0058835	169.97	0	0	0	0	0	0	0	1.8418E-05	0	na
23	0.550000	0.0064713	154.53	0	0	0	0	0	0	0	1.8424E-05	0	na
23	0.600000	0.0070606	141.63	0	0	0	0	0	0	0	1.8430E-05	0	na
23	0.650000	0.0076499	130.72	0	0	0	0	0	0	0	1.8436E-05	0	na
23	0.700000	0.0082347	121.44	0	0	0	0	0	0	0	1.8442E-05	0	na
23	0.750000	0.0088267	113.29	0	0	0	0	0	0	0	1.8448E-05	0	na
23	0.800000	0.0094227	106.13	0	0	0	0	0	0	0	1.8454E-05	0	na
23	0.850000	0.0100109	99.89	0	0	0	0	0	0	0	1.8461E-05	0	na
23	0.900000	0.0105990	94.35	0	0	0	0	0	0	0	1.8467E-05	0	na
23	0.950000	0.0111876	89.38	0	0	0	0	0	0	0	1.8473E-05	0	na
23	1.000000	0.0117769	84.91	0	0	0	0	0	0	0	1.8479E-05	0	na
23	1.050000	0.0123662	80.87	0	0	0	0	0	0	0	1.8487E-05	0	na
