Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
23.000	0.10000	0.0017965	556.65	448.49	504.15	2.7336	0.65544	0.84884	267.81	11.122	1.4835e-05	0.016481	vapor
23.000	0.15000	0.0027016	370.15	448.16	503.68	2.6559	0.65672	0.85241	267.42	11.125	1.4839e-05	0.016504	vapor
23.000	0.20000	0.0036115	276.89	447.83	503.21	2.6004	0.65801	0.85603	267.02	11.127	1.4843e-05	0.016527	vapor
23.000	0.25000	0.0045262	220.94	447.49	502.73	2.5571	0.65930	0.85969	266.63	11.130	1.4847e-05	0.016550	vapor
23.000	0.30000	0.0054457	183.63	447.16	502.25	2.5215	0.66060	0.86340	266.24	11.132	1.4851e-05	0.016574	vapor
23.000	0.35000	0.0063702	156.98	446.82	501.77	2.4913	0.66191	0.86715	265.84	11.135	1.4856e-05	0.016598	vapor
23.000	0.40000	0.0072996	136.99	446.49	501.28	2.4649	0.66322	0.87096	265.44	11.138	1.4861e-05	0.016623	vapor
23.000	0.45000	0.0082340	121.45	446.15	500.80	2.4415	0.66455	0.87482	265.04	11.140	1.4866e-05	0.016647	vapor
23.000	0.50000	0.0091736	109.01	445.80	500.31	2.4204	0.66588	0.87872	264.64	11.143	1.4871e-05	0.016673	vapor
23.000	0.55000	0.010118	98.831	445.46	499.82	2.4013	0.66723	0.88269	264.24	11.145	1.4876e-05	0.016698	vapor
23.000	0.60000	0.011068	90.348	445.12	499.33	2.3836	0.66858	0.88670	263.83	11.148	1.4881e-05	0.016724	vapor
23.000	0.65000	0.012024	83.170	444.77	498.83	2.3673	0.66994	0.89077	263.43	11.151	1.4887e-05	0.016751	vapor
23.000	0.70000	0.012984	77.016	444.42	498.33	2.3522	0.67131	0.89490	263.02	11.153	1.4892e-05	0.016777	vapor
23.000	0.75000	0.013951	71.681	444.07	497.83	2.3379	0.67269	0.89909	262.61	11.156	1.4898e-05	0.016805	vapor
23.000	0.80000	0.014922	67.013	443.72	497.33	2.3245	0.67407	0.90334	262.20	11.158	1.4904e-05	0.016832	vapor
23.000	0.85000	0.015900	62.894	443.36	496.82	2.3119	0.67547	0.90765	261.79	11.161	1.4910e-05	0.016860	vapor
23.000	0.90000	0.016883	59.231	443.01	496.32	2.2998	0.67688	0.91202	261.38	11.164	1.4916e-05	0.016889	vapor
23.000	0.95000	0.017872	55.953	442.65	495.81	2.2884	0.67830	0.91645	260.97	11.166	1.4923e-05	0.016918	vapor
23.000	1.0000	0.018867	53.003	442.29	495.29	2.2775	0.67973	0.92095	260.55	11.169	1.4930e-05	0.016947	vapor
23.000	1.0500	0.019868	50.332	441.93	494.78	2.2670	0.68117	0.92552	260.13	11.172	1.4936e-05	0.016977	vapor
23.000	1.1000	0.020875	47.904	441.56	494.26	2.2570	0.68262	0.93016	259.71	11.174	1.4944e-05	0.017008	vapor
23.000	1.1500	0.021888	45.687	441.20	493.74	2.2473	0.68408	0.93487	259.29	11.177	1.4951e-05	0.017039	vapor
23.000	1.2000	0.022908	43.653	440.83	493.21	2.2380	0.68555	0.93966	258.87	11.179	1.4958e-05	0.017070	vapor
23.000	1.2500	0.023934	41.782	440.46	492.69	2.2290	0.68704	0.94452	258.44	11.182	1.4966e-05	0.017102	vapor
23.000	1.3000	0.024966	40.055	440.09	492.16	2.2203	0.68854	0.94945	258.02	11.184	1.4974e-05	0.017135	vapor
23.000	1.3500	0.026005	38.454	439.71	491.63	2.2119	0.69005	0.95447	257.59	11.187	1.4982e-05	0.017168	vapor
