Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
23.000	0.10000	0.0011379	878.80	219.31	307.19	6.8322	0.74311	1.0413	350.89	2.1804	1.7719e-05	0.025600	vapor
23.000	0.15000	0.0017071	585.80	219.20	307.07	6.7115	0.74324	1.0422	350.96	2.1766	1.7727e-05	0.025616	vapor
23.000	0.20000	0.0022763	439.31	219.10	306.96	6.6258	0.74336	1.0430	351.03	2.1729	1.7735e-05	0.025632	vapor
23.000	0.25000	0.0028457	351.41	218.99	306.85	6.5592	0.74349	1.0438	351.11	2.1691	1.7743e-05	0.025648	vapor
23.000	0.30000	0.0034152	292.81	218.89	306.73	6.5047	0.74362	1.0447	351.18	2.1654	1.7751e-05	0.025664	vapor
23.000	0.35000	0.0039848	250.96	218.79	306.62	6.4586	0.74375	1.0455	351.26	2.1616	1.7759e-05	0.025681	vapor
23.000	0.40000	0.0045545	219.57	218.68	306.51	6.4186	0.74388	1.0463	351.34	2.1578	1.7767e-05	0.025698	vapor
23.000	0.45000	0.0051243	195.15	218.58	306.40	6.3833	0.74400	1.0472	351.41	2.1541	1.7775e-05	0.025714	vapor
23.000	0.50000	0.0056942	175.62	218.47	306.28	6.3517	0.74413	1.0480	351.49	2.1503	1.7783e-05	0.025732	vapor
23.000	0.55000	0.0062642	159.64	218.37	306.17	6.3231	0.74426	1.0488	351.57	2.1465	1.7791e-05	0.025749	vapor
23.000	0.60000	0.0068343	146.32	218.27	306.06	6.2969	0.74439	1.0497	351.65	2.1427	1.7799e-05	0.025767	vapor
23.000	0.65000	0.0074045	135.05	218.16	305.94	6.2728	0.74451	1.0505	351.73	2.1389	1.7807e-05	0.025784	vapor
23.000	0.70000	0.0079749	125.39	218.06	305.83	6.2504	0.74464	1.0513	351.81	2.1352	1.7815e-05	0.025802	vapor
23.000	0.75000	0.0085453	117.02	217.95	305.72	6.2296	0.74477	1.0522	351.89	2.1314	1.7824e-05	0.025821	vapor
23.000	0.80000	0.0091158	109.70	217.85	305.61	6.2101	0.74489	1.0530	351.97	2.1276	1.7832e-05	0.025839	vapor
23.000	0.85000	0.0096864	103.24	217.74	305.50	6.1918	0.74502	1.0539	352.05	2.1238	1.7840e-05	0.025858	vapor
23.000	0.90000	0.010257	97.494	217.64	305.38	6.1745	0.74514	1.0547	352.14	2.1200	1.7848e-05	0.025876	vapor
23.000	0.95000	0.010828	92.355	217.54	305.27	6.1581	0.74527	1.0555	352.22	2.1162	1.7856e-05	0.025895	vapor
23.000	1.0000	0.011399	87.730	217.43	305.16	6.1425	0.74540	1.0564	352.30	2.1124	1.7865e-05	0.025915	vapor
23.000	1.0500	0.011970	83.545	217.33	305.05	6.1277	0.74552	1.0572	352.39	2.1086	1.7873e-05	0.025934	vapor
23.000	1.1000	0.012541	79.741	217.22	304.94	6.1135	0.74565	1.0580	352.47	2.1048	1.7881e-05	0.025953	vapor
23.000	1.1500	0.013112	76.268	217.12	304.83	6.1000	0.74577	1.0589	352.56	2.1010	1.7890e-05	0.025973	vapor
23.000	1.2000	0.013683	73.084	217.02	304.72	6.0870	0.74590	1.0597	352.65	2.0972	1.7898e-05	0.025993	vapor
23.000	1.2500	0.014254	70.155	216.91	304.60	6.0745	0.74602	1.0606	352.73	2.0933	1.7906e-05	0.026013	vapor
23.000	1.3000	0.014825	67.451	216.81	304.49	6.0625	0.74615	1.0614	352.82	2.0895	1.7915e-05	0.026033	vapor
23.000	1.3500	0.015397	64.948	216.70	304.38	6.0510	0.74627	1.0622	352.91	2.0857	1.7923e-05	0.026054	vapor
23.000	1.4000	0.015968	62.624	216.60	304.27	6.0398	0.74640	1.0631	353.00	2.0819	1.7932e-05	0.026074	vapor
23.000	1.4500	0.016540	60.460	216.49	304.16	6.0291	0.74652	1.0639	353.09	2.0781	1.7940e-05	0.026095	vapor
23.000	1.5000	0.017111	58.440	216.39	304.05	6.0187	0.74665	1.0647	353.18	2.0742	1.7949e-05	0.026116	vapor
23.000	1.5500	0.017683	56.551	216.29	303.94	6.0086	0.74677	1.0656	353.27	2.0704	1.7957e-05	0.026137	vapor
23.000	1.6000	0.018255	54.780	216.18	303.83	5.9988	0.74690	1.0664	353.36	2.0666	1.7966e-05	0.026158	vapor
23.000	1.6500	0.018827	53.116	216.08	303.72	5.9893	0.74702	1.0673	353.45	2.0627	1.7974e-05	0.026179	vapor
23.000	1.7000	0.019398	51.550	215.97	303.61	5.9801	0.74714	1.0681	353.54	2.0589	1.7983e-05	0.026201	vapor
23.000	1.7500	0.019970	50.074	215.87	303.50	5.9712	0.74727	1.0689	353.64	2.0550	1.7992e-05	0.026223	vapor
23.000	1.8000	0.020542	48.680	215.77	303.39	5.9625	0.74739	1.0698	353.73	2.0512	1.8000e-05	0.026244	vapor
23.000	1.8500	0.021114	47.361	215.66	303.28	5.9540	0.74751	1.0706	353.82	2.0473	1.8009e-05	0.026266	vapor
23.000	1.9000	0.021686	46.112	215.56	303.17	5.9457	0.74764	1.0715	353.92	2.0435	1.8018e-05	0.026289	vapor
23.000	1.9500	0.022258	44.927	215.46	303.06	5.9377	0.74776	1.0723	354.01	2.0396	1.8026e-05	0.026311	vapor
23.000	2.0000	0.022831	43.801	215.35	302.95	5.9298	0.74788	1.0731	354.11	2.0358	1.8035e-05	0.026333	vapor
23.000	2.0500	0.023403	42.730	215.25	302.84	5.9222	0.74801	1.0740	354.21	2.0319	1.8044e-05	0.026356	vapor
23.000	2.1000	0.023975	41.710	215.14	302.73	5.9147	0.74813	1.0748	354.30	2.0281	1.8053e-05	0.026379	vapor
23.000	2.1500	0.024547	40.738	215.04	302.63	5.9073	0.74825	1.0757	354.40	2.0242	1.8062e-05	0.026402	vapor
23.000	2.2000	0.025120	39.810	214.94	302.52	5.9002	0.74837	1.0765	354.50	2.0203	1.8071e-05	0.026425	vapor
23.000	2.2500	0.025692	38.923	214.83	302.41	5.8932	0.74850	1.0773	354.60	2.0165	1.8079e-05	0.026448	vapor
23.000	2.3000	0.026264	38.075	214.73	302.30	5.8863	0.74862	1.0782	354.70	2.0126	1.8088e-05	0.026471	vapor
23.000	2.3500	0.026837	37.262	214.62	302.19	5.8796	0.74874	1.0790	354.80	2.0087	1.8097e-05	0.026495	vapor
23.000	2.4000	0.027409	36.484	214.52	302.08	5.8730	0.74886	1.0798	354.90	2.0049	1.8106e-05	0.026518	vapor
23.000	2.4500	0.027982	35.738	214.42	301.97	5.8665	0.74898	1.0807	355.00	2.0010	1.8115e-05	0.026542	vapor
23.000	2.5000	0.028554	35.021	214.31	301.87	5.8602	0.74910	1.0815	355.10	1.9971	1.8124e-05	0.026566	vapor
23.000	2.5500	0.029126	34.333	214.21	301.76	5.8540	0.74923	1.0824	355.20	1.9932	1.8133e-05	0.026590	vapor
23.000	2.6000	0.029699	33.671	214.11	301.65	5.8479	0.74935	1.0832	355.31	1.9893	1.8142e-05	0.026614	vapor
23.000	2.6500	0.030272	33.034	214.00	301.54	5.8419	0.74947	1.0840	355.41	1.9855	1.8151e-05	0.026638	vapor
23.000	2.7000	0.030844	32.421	213.90	301.44	5.8360	0.74959	1.0849	355.51	1.9816	1.8161e-05	0.026662	vapor
23.000	2.7500	0.031417	31.830	213.79	301.33	5.8302	0.74971	1.0857	355.62	1.9777	1.8170e-05	0.026687	vapor
23.000	2.8000	0.031989	31.261	213.69	301.22	5.8245	0.74983	1.0865	355.72	1.9738	1.8179e-05	0.026711	vapor
23.000	2.8500	0.032562	30.711	213.59	301.11	5.8189	0.74995	1.0874	355.83	1.9699	1.8188e-05	0.026736	vapor
23.000	2.9000	0.033134	30.180	213.48	301.01	5.8134	0.75007	1.0882	355.94	1.9660	1.8197e-05	0.026761	vapor
23.000	2.9500	0.033707	29.667	213.38	300.90	5.8080	0.75019	1.0891	356.04	1.9621	1.8206e-05	0.026786	vapor
23.000	3.0000	0.034280	29.172	213.28	300.79	5.8027	0.75031	1.0899	356.15	1.9582	1.8216e-05	0.026811	vapor
23.000	3.0500	0.034852	28.693	213.17	300.69	5.7974	0.75043	1.0907	356.26	1.9543	1.8225e-05	0.026836	vapor
23.000	3.1000	0.035425	28.229	213.07	300.58	5.7923	0.75055	1.0916	356.37	1.9504	1.8234e-05	0.026861	vapor
23.000	3.1500	0.035997	27.780	212.97	300.47	5.7872	0.75067	1.0924	356.48	1.9465	1.8244e-05	0.026887	vapor
23.000	3.2000	0.036570	27.345	212.86	300.37	5.7822	0.75079	1.0932	356.59	1.9426	1.8253e-05	0.026912	vapor
23.000	3.2500	0.037142	26.923	212.76	300.26	5.7772	0.75091	1.0941	356.70	1.9387	1.8262e-05	0.026938	vapor
23.000	3.3000	0.037715	26.515	212.66	300.16	5.7723	0.75102	1.0949	356.81	1.9348	1.8272e-05	0.026964	vapor
23.000	3.3500	0.038288	26.118	212.55	300.05	5.7675	0.75114	1.0957	356.92	1.9309	1.8281e-05	0.026989	vapor
23.000	3.4000	0.038860	25.733	212.45	299.94	5.7628	0.75126	1.0966	357.03	1.9269	1.8291e-05	0.027015	vapor
23.000	3.4500	0.039433	25.360	212.35	299.84	5.7581	0.75138	1.0974	357.15	1.9230	1.8300e-05	0.027041	supercritical
23.000	3.5000	0.040005	24.997	212.24	299.73	5.7535	0.75150	1.0982	357.26	1.9191	1.8310e-05	0.027068	supercritical
23.000	3.5500	0.040578	24.644	212.14	299.63	5.7490	0.75162	1.0991	357.38	1.9152	1.8319e-05	0.027094	supercritical
23.000	3.6000	0.041150	24.301	212.04	299.52	5.7445	0.75173	1.0999	357.49	1.9113	1.8329e-05	0.027120	supercritical
23.000	3.6500	0.041722	23.968	211.93	299.42	5.7401	0.75185	1.1007	357.61	1.9073	1.8339e-05	0.027147	supercritical
23.000	3.7000	0.042295	23.644	211.83	299.31	5.7357	0.75197	1.1016	357.72	1.9034	1.8348e-05	0.027173	supercritical
23.000	3.7500	0.042867	23.328	211.73	299.21	5.7314	0.75209	1.1024	357.84	1.8995	1.8358e-05	0.027200	supercritical
