Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","353.16068"
"0.01000","-0.00002","353.53809"
"0.02000","-0.00015","353.17227"
"0.03000","-0.00070","353.37607"
"0.04000","-0.00218","353.17828"
"0.05000","-0.00534","353.00739"
"0.06000","-0.01015","352.92514"
"0.07000","-0.01536","352.41592"
"0.08000","-0.02032","352.55405"
"0.09000","-0.02536","351.89810"
"0.10000","-0.03110","352.10349"
"0.11000","-0.03801","351.42206"
"0.12000","-0.04623","351.51917"
"0.13000","-0.05556","350.95221"
"0.14000","-0.06558","350.86163"
"0.15000","-0.07592","350.58475"
"0.16000","-0.08629","350.26456"
"0.17000","-0.09649","350.30261"
"0.18000","-0.10639","349.78821"
"0.19000","-0.11594","350.00748"
"0.20000","-0.12509","349.37924"
"0.21000","-0.13387","349.64127"
"0.22000","-0.14236","349.04648"
"0.23000","-0.15072","349.18512"
"0.24000","-0.15906","348.77087"
"0.25000","-0.16741","348.67294"
"0.26000","-0.17580","348.52512"
"0.27000","-0.18418","348.19629"
"0.28000","-0.19250","348.32257"
"0.29000","-0.20076","347.78226"
"0.30000","-0.20906","348.07486"
"0.31000","-0.21743","347.48401"
"0.32000","-0.22584","347.76642"
"0.33000","-0.23428","347.24875"
"0.34000","-0.24270","347.38556"
"0.35000","-0.25105","347.11310"
"0.36000","-0.25933","347.02908"
"0.37000","-0.26759","347.05832"
"0.38000","-0.27588","346.70056"
"0.39000","-0.28422","346.95105"
"0.40000","-0.29261","346.45648"
"0.41000","-0.30105","346.81494"
"0.42000","-0.30948","346.27234"
"0.43000","-0.31784","346.56155"
"0.44000","-0.32614","346.12274"
"0.45000","-0.33447","346.19901"
"0.46000","-0.34285","346.00256"
"0.47000","-0.35123","345.82971"
"0.48000","-0.35961","345.89651"
"0.49000","-0.36800","345.47250"
"0.50000","-0.37635","345.75949"
"0.51000","-0.38464","345.22223"
"0.52000","-0.39291","345.57986"
"0.53000","-0.40121","345.08356"
"0.54000","-0.40952","345.34888"
"0.55000","-0.41787","345.01706"
"0.56000","-0.42625","345.08481"
"0.57000","-0.43459","345.02380"
"0.58000","-0.44287","344.82538"
"0.59000","-0.45112","345.03204"
"0.60000","-0.45937","344.61465"
"0.61000","-0.46766","344.97675"
"0.62000","-0.47594","344.47089"
"0.63000","-0.48424","344.84436"
"0.64000","-0.49255","344.36963"
"0.65000","-0.50083","344.58521"
"0.66000","-0.50909","344.33551"
"0.67000","-0.51736","344.33130"
"0.68000","-0.52569","344.34033"
"0.69000","-0.53406","344.07578"
"0.70000","-0.54246","344.34616"
"0.71000","-0.55086","343.89493"
"0.72000","-0.55923","344.30246"
"0.73000","-0.56753","343.82953"
"0.74000","-0.57579","344.20609"
