# time (s), duty, act pres, tank pres, d4, d5, pres err
0.02, 0.00, 0.00, 42.05, 0.00, 0.00, 0.00
0.04, 0.00, 0.00, 42.05, 0.00, 0.00, 0.00
0.06, 0.00, 0.00, 42.05, 0.00, 0.00, 0.00
0.08, 0.00, 0.00, 42.05, 0.00, 0.00, 0.00
0.10, 0.00, 0.01, 42.05, 0.00, 0.00, 0.00
0.12, 0.00, 0.02, 42.05, 0.00, 0.00, 0.01
0.14, 0.00, 0.03, 42.05, 0.00, 0.00, 0.02
0.16, 0.00, 0.04, 42.05, 0.00, 0.00, 0.03
0.18, 0.00, 0.03, 42.05, 0.00, 0.00, 0.04
0.20, 0.00, 0.02, 42.05, 0.00, 0.00, 0.02
0.22, 0.00, 0.01, 42.06, 0.00, 0.00, 0.01
0.24, 0.00, 0.00, 42.06, 0.00, 0.00, 0.00
0.26, 0.00, 0.00, 42.06, 0.00, 0.00, 0.00
0.28, 0.00, 0.00, 42.06, 0.00, 0.00, 0.00
0.30, 0.00, 0.00, 42.06, 0.00, 0.00, 0.00
0.32, 0.00, 0.00, 42.06, 0.00, 0.00, 0.00
0.34, 0.00, 0.00, 42.05, 0.00, 0.00, 0.00
0.36, 0.00, 0.00, 42.05, 0.00, 0.00, 0.00
0.38, 0.00, 0.00, 42.05, 0.00, 0.00, 0.00
0.40, 0.00, 0.00, 42.05, 0.00, 0.00, 0.00
0.42, 0.00, 0.00, 42.05, 0.00, 0.00, 0.00
0.44, 0.00, 0.00, 42.05, 0.00, 0.00, 0.00
0.46, 0.00, 0.00, 42.06, 0.00, 0.00, 0.00
0.48, 0.00, 0.00, 42.07, 0.00, 0.00, 0.00
0.50, 0.00, 0.00, 42.07, 0.00, 0.00, 0.00
0.52, 0.00, 0.00, 42.08, 0.00, 0.00, 0.00
0.54, 0.00, 0.00, 42.08, 0.00, 0.00, 0.00
0.56, 0.00, 0.00, 42.08, 0.00, 0.00, 0.00
0.58, 11.32, 0.00, 42.09, 0.00, 0.00, -0.53
0.60, 11.32, 0.00, 42.09, 0.00, 0.00, -0.53
0.62, 11.32, 0.01, 42.08, 0.00, 0.00, -0.53
0.64, 11.31, 0.06, 42.04, 0.00, 0.00, -0.50
0.66, 11.27, 0.18, 41.98, 0.00, 0.00, -0.42
0.68, 11.27, 0.33, 41.94, 0.00, 0.00, -0.42
0.70, 11.16, 0.41, 41.97, 0.00, 0.00, -0.20
0.72, 11.12, 0.38, 42.05, 0.00, 0.00, -0.12
0.74, 11.13, 0.29, 42.06, 0.00, 0.00, -0.15
0.76, 11.18, 0.25, 41.99, 0.00, 0.00, -0.24
0.78, 11.20, 0.33, 41.86, 0.00, 0.00, -0.28
0.80, 11.13, 0.43, 41.75, 0.00, 0.00, -0.15
0.82, 11.09, 0.47, 41.67, 0.00, 0.00, -0.07
0.84, 11.09, 0.45, 41.60, 0.00, 0.00, -0.07
0.86, 11.11, 0.43, 41.53, 0.00, 0.00, -0.09
0.88, 11.11, 0.47, 41.50, 0.00, 0.00, -0.09
0.90, 11.09, 0.50, 41.59, 0.00, 0.00, -0.06
0.92, 11.08, 0.47, 41.74, 0.00, 0.00, -0.03
0.94, 11.09, 0.43, 41.82, 0.00, 0.00, -0.06
0.96, 11.11, 0.47, 41.76, 0.00, 0.00, -0.10
0.98, 11.09, 0.62, 41.63, 0.00, 0.00, -0.06
1.00, 10.96, 0.77, 41.54, 0.02, 0.00, 0.18
1.02, 10.88, 0.80, 41.51, 0.04, 0.00, 0.28
1.04, 10.87, 0.74, 41.49, 0.07, 0.00, 0.25
1.06, 10.87, 0.73, 41.42, 0.09, 0.00, 0.19
1.08, 10.87, 0.81, 41.38, 0.09, 0.00, 0.19
1.10, 12.15, 0.89, 41.46, 0.07, 0.00, -0.24
1.12, 12.13, 0.86, 41.60, 0.05, 0.00, -0.16
1.14, 12.16, 0.75, 41.67, 0.03, 0.00, -0.19
1.16, 12.25, 0.69, 41.60, 0.00, 0.00, -0.30
1.18, 12.32, 0.74, 41.45, -0.04, 0.00, -0.36
1.20, 12.29, 0.84, 41.35, -0.06, 0.00, -0.26
1.22, 12.26, 0.90, 41.37, -0.08, 0.00, -0.17
1.24, 12.27, 0.89, 41.47, -0.09, 0.00, -0.15
1.26, 12.29, 0.89, 41.59, -0.11, 0.00, -0.17
1.28, 12.29, 0.94, 41.71, -0.11, 0.00, -0.17
1.30, 12.28, 0.98, 41.82, -0.12, 0.00, -0.11
1.32, 12.26, 0.93, 41.90, -0.13, 0.00, -0.07
1.34, 12.30, 0.80, 41.88, -0.14, 0.00, -0.12
1.36, 12.39, 0.72, 41.73, -0.17, 0.00, -0.25
1.38, 12.46, 0.76, 41.53, -0.20, 0.00, -0.33
1.40, 12.45, 0.85, 41.36, -0.22, 0.00, -0.24
1.42, 12.42, 0.91, 41.30, -0.24, 0.00, -0.16
1.44, 12.42, 0.91, 41.35, -0.25, 0.00, -0.14
1.46, 12.43, 0.94, 41.45, -0.27, 0.00, -0.14
1.48, 12.43, 1.06, 41.59, -0.27, 0.00, -0.14
1.50, 12.36, 1.18, 41.73, -0.27, 0.00, 0.01
1.52, 12.29, 1.19, 41.82, -0.25, 0.00, 0.13
1.54, 12.27, 1.11, 41.80, -0.24, 0.00, 0.14
1.56, 12.30, 1.07, 41.73, -0.23, 0.00, 0.06
1.58, 12.32, 1.14, 41.67, -0.23, 0.00, 0.02
1.60, 12.25, 1.23, 41.66, -0.22, 0.00, 0.14
1.62, 13.57, 1.24, 41.64, -0.25, 0.00, -0.33
1.64, 13.63, 1.18, 41.53, -0.29, 0.00, -0.37
1.66, 13.71, 1.13, 41.37, -0.33, 0.00, -0.44
1.68, 13.71, 1.17, 41.25, -0.33, 0.00, -0.44
1.70, 13.74, 1.23, 41.24, -0.37, 0.00, -0.41
1.72, 13.74, 1.23, 41.29, -0.41, 0.00, -0.35
1.74, 13.78, 1.18, 41.35, -0.44, 0.00, -0.35
1.76, 13.84, 1.19, 41.36, -0.48, 0.00, -0.40
1.78, 13.87, 1.30, 41.35, -0.52, 0.00, -0.39
