Time,Extension,Load
(s),(mm),(N)
"0.00000","-26.96072","2.12915"
"0.10000","-26.95875","2.13573"
"0.20000","-26.95512","2.28546"
"0.30000","-26.92879","3.05563"
"0.40000","-26.91028","3.57543"
"0.50000","-26.89441","3.96796"
"0.60000","-26.87752","4.26380"
"0.70000","-26.86140","4.46223"
"0.80000","-26.84421","4.59838"
"0.90000","-26.82732","4.74966"
"1.00000","-26.81148","4.85506"
"1.10000","-26.79431","5.00099"
"1.20000","-26.77759","5.12302"
"1.30000","-26.76046","5.29085"
"1.40000","-26.74491","5.41044"
"1.50000","-26.72729","5.54925"
"1.60000","-26.71074","5.66428"
"1.70000","-26.69414","5.80865"
"1.80000","-26.67829","5.94035"
"1.90000","-26.66055","6.05056"
"2.00000","-26.64404","6.22350"
"2.10000","-26.62778","6.33848"
"2.20000","-26.61122","6.50773"
"2.30000","-26.59440","6.62668"
"2.40000","-26.57702","6.79882"
"2.50000","-26.56161","6.91563"
"2.60000","-26.54376","7.11317"
"2.70000","-26.52766","7.19551"
"2.80000","-26.51049","7.36648"
"2.90000","-26.49490","7.51659"
"3.00000","-26.47716","7.68344"
"3.10000","-26.46065","7.84267"
"3.20000","-26.44448","7.95128"
"3.30000","-26.42826","8.13530"
"3.40000","-26.41074","8.30212"
"3.50000","-26.39404","8.45687"
"3.60000","-26.37786","8.60277"
"3.70000","-26.36111","8.81340"
"3.80000","-26.34422","8.95784"
"3.90000","-26.32717","9.13006"
"4.00000","-26.31145","9.28119"
"4.10000","-26.29376","9.48632"
"4.20000","-26.27754","9.61137"
"4.30000","-26.26035","9.79643"
"4.40000","-26.24503","9.96759"
"4.50000","-26.22730","10.17433"
"4.60000","-26.21054","10.35294"
"4.70000","-26.19458","10.48410"
"4.80000","-26.17810","10.71331"
"4.90000","-26.16089","10.89036"
"5.00000","-26.14384","11.09057"
"5.10000","-26.12809","11.24627"
"5.20000","-26.11110","11.48958"
"5.30000","-26.09409","11.66230"
"5.40000","-26.07735","11.85099"
"5.50000","-26.06149","12.04456"
"5.60000","-26.04384","12.27246"
"5.70000","-26.02751","12.45971"
"5.80000","-26.01077","12.65727"
"5.90000","-25.99490","12.85879"
"6.00000","-25.97739","13.09765"
"6.10000","-25.96059","13.28697"
"6.20000","-25.94457","13.47483"
"6.30000","-25.92774","13.74095"
"6.40000","-25.91077","13.91169"
"6.50000","-25.89379","14.16310"
"6.60000","-25.87814","14.35271"
"6.70000","-25.86052","14.64956"
"6.80000","-25.84415","14.82081"
"6.90000","-25.82728","15.04646"
"7.00000","-25.81142","15.26929"
"7.10000","-25.79401","15.53052"
"7.20000","-25.77774","15.74808"
"7.30000","-25.76107","15.99107"
"7.40000","-25.74486","16.24060"
"7.50000","-25.72768","16.46154"
"7.60000","-25.71088","16.74942"
"7.70000","-25.69463","16.96659"
"7.80000","-25.67745","17.27326"
