Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.03189"
"0.10000","0.00303","0.02545"
"0.20000","0.00834","0.05033"
"0.30000","0.03691","0.06860"
"0.40000","0.05353","0.05787"
"0.50000","0.06966","0.07492"
"0.60000","0.08618","0.08533"
"0.70000","0.10327","0.09590"
"0.80000","0.12018","0.11580"
"0.90000","0.13637","0.10628"
"1.00000","0.15313","0.10885"
"1.10000","0.17004","0.13131"
"1.20000","0.18702","0.13130"
"1.30000","0.20289","0.16115"
"1.40000","0.22019","0.13566"
"1.50000","0.23651","0.14709"
"1.60000","0.25352","0.15177"
"1.70000","0.26938","0.17054"
"1.80000","0.28683","0.15477"
"1.90000","0.30328","0.18379"
"2.00000","0.31972","0.16850"
"2.10000","0.33631","0.17643"
"2.20000","0.35316","0.17316"
"2.30000","0.37045","0.17249"
"2.40000","0.38625","0.17850"
"2.50000","0.40352","0.18261"
"2.60000","0.42006","0.19826"
"2.70000","0.43697","0.21139"
"2.80000","0.45296","0.19755"
"2.90000","0.47018","0.21050"
"3.00000","0.48693","0.19257"
"3.10000","0.50320","0.20150"
"3.20000","0.51941","0.21899"
"3.30000","0.53681","0.23134"
"3.40000","0.55346","0.22127"
"3.50000","0.56950","0.22225"
"3.60000","0.58627","0.20861"
"3.70000","0.60327","0.21613"
"3.80000","0.62036","0.23069"
"3.90000","0.63590","0.24580"
"4.00000","0.65392","0.23864"
"4.10000","0.67002","0.25711"
"4.20000","0.68681","0.24980"
"4.30000","0.70281","0.24496"
"4.40000","0.72019","0.24380"
"4.50000","0.73723","0.24862"
"4.60000","0.75275","0.25969"
"4.70000","0.76970","0.26178"
"4.80000","0.78669","0.24379"
"4.90000","0.80354","0.27484"
"5.00000","0.81946","0.27810"
"5.10000","0.83675","0.26975"
"5.20000","0.85351","0.28265"
"5.30000","0.87015","0.28527"
"5.40000","0.88592","0.28720"
"5.50000","0.90377","0.28446"
"5.60000","0.91994","0.30040"
"5.70000","0.93667","0.29373"
"5.80000","0.95251","0.30436"
"5.90000","0.97024","0.31077"
"6.00000","0.98706","0.32610"
"6.10000","1.00266","0.30191"
"6.20000","1.01999","0.34168"
"6.30000","1.03668","0.33318"
"6.40000","1.05370","0.34657"
"6.50000","1.06945","0.34937"
"6.60000","1.08694","0.35503"
"6.70000","1.10377","0.34362"
"6.80000","1.12007","0.34873"
"6.90000","1.13595","0.36737"
"7.00000","1.15344","0.35807"
"7.10000","1.17010","0.38397"
"7.20000","1.18651","0.37333"
"7.30000","1.20276","0.38874"
"7.40000","1.21999","0.38648"
"7.50000","1.23700","0.38523"
"7.60000","1.25265","0.37820"
"7.70000","1.26999","0.37864"
"7.80000","1.28675","0.41274"
"7.90000","1.30367","0.39338"
"8.00000","1.31947","0.40762"
"8.10000","1.33694","0.41412"
"8.20000","1.35367","0.41884"
"8.30000","1.36981","0.43538"
"8.40000","1.38619","0.42656"
"8.50000","1.40336","0.42368"
"8.60000","1.42009","0.44018"
"8.70000","1.43653","0.45580"
"8.80000","1.45296","0.46051"
"8.90000","1.47005","0.46727"
"9.00000","1.48689","0.46493"
"9.10000","1.50292","0.47561"
"9.20000","1.52021","0.48546"
"9.30000","1.53653","0.49969"
"9.40000","1.55356","0.48284"
"9.50000","1.56935","0.50263"
"9.60000","1.58695","0.50069"
"9.70000","1.60340","0.50836"
"9.80000","1.61989","0.51798"
"9.90000","1.63617","0.52013"
"10.00000","1.65324","0.53341"
"10.10000","1.67036","0.53160"
"10.20000","1.68643","0.53283"
"10.30000","1.70351","0.53525"
"10.40000","1.72006","0.54271"
"10.50000","1.73696","0.55037"
"10.60000","1.75308","0.55974"
"10.70000","1.77020","0.56424"
"10.80000","1.78690","0.57521"
"10.90000","1.80331","0.57506"
"11.00000","1.81935","0.56186"
"11.10000","1.83684","0.60223"
"11.20000","1.85338","0.59525"
"11.30000","1.86957","0.60788"
"11.40000","1.88632","0.60462"
"11.50000","1.90326","0.60740"
"11.60000","1.92047","0.62229"
"11.70000","1.93591","0.63169"
"11.80000","1.95373","0.63980"
"11.90000","1.97001","0.63802"
"12.00000","1.98683","0.64611"
"12.10000","2.00294","0.64719"
"12.20000","2.02012","0.66496"
"12.30000","2.03714","0.66930"
"12.40000","2.05290","0.66373"
"12.50000","2.06957","0.64889"
"12.60000","2.08673","0.67037"
"12.70000","2.10347","0.68941"
"12.80000","2.11951","0.69144"
"12.90000","2.13661","0.68287"
"13.00000","2.15331","0.71039"
"13.10000","2.17036","0.69486"
"13.20000","2.18602","0.70237"
"13.30000","2.20356","0.72699"
"13.40000","2.21988","0.71935"
"13.50000","2.23683","0.72347"
"13.60000","2.25251","0.71597"
"13.70000","2.27020","0.72734"
"13.80000","2.28702","0.74283"
"13.90000","2.30277","0.74432"
"14.00000","2.31967","0.74314"
"14.10000","2.33671","0.75583"
"14.20000","2.35374","0.75851"
"14.30000","2.36953","0.78249"
"14.40000","2.38694","0.77610"
"14.50000","2.40369","0.78504"
"14.60000","2.42009","0.76575"
"14.70000","2.43595","0.78190"
"14.80000","2.45350","0.79101"
"14.90000","2.47015","0.81384"
"15.00000","2.48670","0.80647"
"15.10000","2.50269","0.80280"
"15.20000","2.51986","0.82920"
"15.30000","2.53686","0.83294"
"15.40000","2.55261","0.81375"
"15.50000","2.56977","0.82966"
"15.60000","2.58654","0.82544"
"15.70000","2.60361","0.84319"
"15.80000","2.61946","0.85922"
"15.90000","2.63677","0.86131"
"16.00000","2.65342","0.84702"
"16.10000","2.66992","0.87210"
"16.20000","2.68621","0.87731"
"16.30000","2.70344","0.88281"
"16.40000","2.72012","0.89119"
"16.50000","2.73652","0.88971"
"16.60000","2.75273","0.88904"
"16.70000","2.77005","0.90182"
"16.80000","2.78687","0.92728"
"16.90000","2.80304","0.91982"
"17.00000","2.82007","0.92728"
"17.10000","2.83658","0.93627"
"17.20000","2.85367","0.93337"
"17.30000","2.86939","0.93785"
"17.40000","2.88689","0.97039"
"17.50000","2.90330","0.93334"
"17.60000","2.91984","0.95598"
"17.70000","2.93622","0.96239"
"17.80000","2.95327","0.98376"
"17.90000","2.97034","0.97163"
"18.00000","2.98630","0.98092"
"18.10000","3.00321","0.98259"
"18.20000","3.02018","1.00178"
"18.30000","3.03685","0.99238"
"18.40000","3.05306","0.99140"
"18.50000","3.07014","1.01050"
"18.60000","3.08675","1.02369"
"18.70000","3.10334","1.03408"
"18.80000","3.11935","1.04080"
"18.90000","3.13699","1.04292"
"19.00000","3.15341","1.05071"
"19.10000","3.16964","1.06731"
"19.20000","3.18607","1.05540"
