Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","2.53806"
"0.10000","0.00302","2.57064"
"0.20000","0.00964","2.57620"
"0.30000","0.03754","2.70129"
"0.40000","0.05393","2.70876"
"0.50000","0.07038","2.79105"
"0.60000","0.08656","2.81303"
"0.70000","0.10396","2.85017"
"0.80000","0.12071","2.90085"
"0.90000","0.13706","2.95379"
"1.00000","0.15328","2.98106"
"1.10000","0.17066","3.02073"
"1.20000","0.18744","3.04562"
"1.30000","0.20339","3.08540"
"1.40000","0.22080","3.11061"
"1.50000","0.23704","3.15307"
"1.60000","0.25416","3.17247"
"1.70000","0.26999","3.21708"
"1.80000","0.28753","3.25140"
"1.90000","0.30372","3.27557"
"2.00000","0.32043","3.32338"
"2.10000","0.33682","3.35547"
"2.20000","0.35399","3.38144"
"2.30000","0.37075","3.40617"
"2.40000","0.38691","3.44966"
"2.50000","0.40393","3.48093"
"2.60000","0.42060","3.50799"
"2.70000","0.43755","3.52912"
"2.80000","0.45360","3.56440"
"2.90000","0.47068","3.59118"
"3.00000","0.48742","3.62829"
"3.10000","0.50398","3.66407"
"3.20000","0.51986","3.68212"
"3.30000","0.53750","3.71625"
"3.40000","0.55385","3.74787"
"3.50000","0.57018","3.75577"
"3.60000","0.58673","3.81236"
"3.70000","0.60372","3.81882"
"3.80000","0.62096","3.85518"
"3.90000","0.63651","3.89487"
"4.00000","0.65445","3.93178"
"4.10000","0.67063","3.94872"
"4.20000","0.68751","3.98026"
"4.30000","0.70342","4.02290"
"4.40000","0.72083","4.04747"
"4.50000","0.73771","4.06966"
"4.60000","0.75350","4.11381"
"4.70000","0.77007","4.14780"
"4.80000","0.78740","4.16833"
"4.90000","0.80399","4.20177"
"5.00000","0.82013","4.22115"
"5.10000","0.83699","4.26323"
"5.20000","0.85395","4.29311"
"5.30000","0.87098","4.32743"
"5.40000","0.88650","4.35892"
"5.50000","0.90432","4.40738"
"5.60000","0.92050","4.43083"
"5.70000","0.93746","4.45481"
"5.80000","0.95314","4.48902"
"5.90000","0.97084","4.49080"
"6.00000","0.98747","4.54334"
"6.10000","1.00346","4.58276"
"6.20000","1.02020","4.61760"
"6.30000","1.03727","4.65796"
"6.40000","1.05398","4.70149"
"6.50000","1.07006","4.71180"
"6.60000","1.08740","4.74368"
"6.70000","1.10428","4.76565"
"6.80000","1.12085","4.81764"
"6.90000","1.13661","4.86703"
"7.00000","1.15423","4.88505"
"7.10000","1.17074","4.91212"
"7.20000","1.18724","4.94050"
"7.30000","1.20304","4.97625"
"7.40000","1.22065","5.01362"
"7.50000","1.23745","5.06883"
"7.60000","1.25330","5.07531"
"7.70000","1.27039","5.12092"
"7.80000","1.28726","5.15693"
"7.90000","1.30422","5.18758"
"8.00000","1.32009","5.21605"
"8.10000","1.33748","5.28149"
"8.20000","1.35403","5.29001"
"8.30000","1.37071","5.33132"
"8.40000","1.38670","5.37397"
"8.50000","1.40417","5.39504"
"8.60000","1.42078","5.43880"
"8.70000","1.43707","5.47976"
"8.80000","1.45325","5.50276"
"8.90000","1.47069","5.57545"
"9.00000","1.48729","5.58496"
"9.10000","1.50355","5.61940"
"9.20000","1.52056","5.66150"
"9.30000","1.53706","5.69476"
"9.40000","1.55412","5.73392"
"9.50000","1.56996","5.79726"
"9.60000","1.58756","5.82173"
"9.70000","1.60370","5.84725"
"9.80000","1.62051","5.87366"
"9.90000","1.63683","5.93717"
"10.00000","1.65393","5.95943"
"10.10000","1.67074","5.98148"
"10.20000","1.68694","6.04592"
"10.30000","1.70368","6.09712"
"10.40000","1.72059","6.11648"
"10.50000","1.73752","6.16346"
"10.60000","1.75357","6.19931"
"10.70000","1.77073","6.23443"
"10.80000","1.78744","6.27588"
"10.90000","1.80404","6.30441"
"11.00000","1.81987","6.35388"
"11.10000","1.83760","6.40543"
"11.20000","1.85383","6.45284"
"11.30000","1.87038","6.46771"
"11.40000","1.88655","6.50828"
"11.50000","1.90389","6.55818"
"11.60000","1.92091","6.60740"
"11.70000","1.93649","6.63102"
"11.80000","1.95430","6.69548"
"11.90000","1.97039","6.73342"
"12.00000","1.98769","6.77488"
"12.10000","2.00339","6.79698"
"12.20000","2.02090","6.84673"
"12.30000","2.03757","6.87882"
"12.40000","2.05365","6.93858"
"12.50000","2.07009","6.98604"
"12.60000","2.08746","7.04112"
"12.70000","2.10386","7.07036"
"12.80000","2.12020","7.10113"
"12.90000","2.13690","7.14491"
"13.00000","2.15380","7.20180"
"13.10000","2.17093","7.22376"
"13.20000","2.18660","7.27290"
"13.30000","2.20419","7.33110"
"13.40000","2.22052","7.37776"
"13.50000","2.23744","7.41294"
"13.60000","2.25317","7.45906"
"13.70000","2.27100","7.50613"
"13.80000","2.28739","7.55816"
"13.90000","2.30356","7.60463"
"14.00000","2.32014","7.63891"
"14.10000","2.33734","7.69493"
"14.20000","2.35410","7.72312"
"14.30000","2.37018","7.77659"
"14.40000","2.38715","7.80634"
"14.50000","2.40413","7.86013"
"14.60000","2.42094","7.92676"
"14.70000","2.43652","7.95064"
"14.80000","2.45420","7.99795"
"14.90000","2.47073","8.05116"
"15.00000","2.48738","8.11111"
"15.10000","2.50313","8.14358"
"15.20000","2.52053","8.18192"
"15.30000","2.53746","8.23625"
"15.40000","2.55336","8.27536"
"15.50000","2.57026","8.33621"
"15.60000","2.58718","8.36671"
"15.70000","2.60422","8.42838"
"15.80000","2.62003","8.46466"
"15.90000","2.63739","8.50599"
"16.00000","2.65418","8.53752"
"16.10000","2.67085","8.58133"
"16.20000","2.68678","8.59133"
"16.30000","2.70426","8.66508"
"16.40000","2.72062","8.69676"
"16.50000","2.73724","8.73250"
"16.60000","2.75312","8.81727"
"16.70000","2.77072","8.85979"
"16.80000","2.78730","8.89756"
"16.90000","2.80361","8.92657"
"17.00000","2.82045","8.98394"
"17.10000","2.83704","9.03215"
"17.20000","2.85415","9.09480"
"17.30000","2.86989","9.14226"
"17.40000","2.88766","9.20055"
"17.50000","2.90386","9.24919"
"17.60000","2.92056","9.29312"
"17.70000","2.93670","9.33109"
"17.80000","2.95397","9.38027"
"17.90000","2.97074","9.42707"
"18.00000","2.98702","9.46420"
"18.10000","3.00354","9.53187"
"18.20000","3.02066","9.57215"
"18.30000","3.03754","9.65384"
"18.40000","3.05340","9.67513"
"18.50000","3.07052","9.72687"
"18.60000","3.08728","9.78849"
"18.70000","3.10424","9.83490"
"18.80000","3.11979","9.88144"
"18.90000","3.13783","9.94646"
"19.00000","3.15399","9.98452"
"19.10000","3.17042","10.03378"
"19.20000","3.18662","10.07285"
"19.30000","3.20384","10.14197"
"19.40000","3.22074","10.19577"
"19.50000","3.23653","10.20630"
"19.60000","3.25410","10.30211"
"19.70000","3.27047","10.34776"
"19.80000","3.28759","10.41403"
"19.90000","3.30340","10.45263"
"20.00000","3.32098","10.49644"
"20.10000","3.33760","10.55847"
"20.20000","3.35385","10.60277"
"20.30000","3.36987","10.64363"
"20.40000","3.38770","10.71270"
"20.50000","3.40377","10.74979"
"20.60000","3.42027","10.80551"
"20.70000","3.43672","10.88292"
"20.80000","3.45388","10.91921"
"20.90000","3.47091","10.96366"
"21.00000","3.48661","11.00633"
"21.10000","3.50412","11.09774"
"21.20000","3.52035","11.12930"
"21.30000","3.53749","11.19319"
"21.40000","3.55312","11.23892"
"21.50000","3.57093","11.29891"
"21.60000","3.58745","11.34906"
"21.70000","3.60361","11.40858"
"21.80000","3.62013","11.48509"
"21.90000","3.63739","11.52696"
"22.00000","3.65388","11.56264"
"22.10000","3.67018","11.63149"
"22.20000","3.68712","11.67823"
"22.30000","3.70412","11.74849"
"22.40000","3.72091","11.79435"
"22.50000","3.73656","11.83598"
"22.60000","3.75421","11.89806"
"22.70000","3.77054","11.97216"
"22.80000","3.78751","12.01444"
"22.90000","3.80310","12.07453"
"23.00000","3.82058","12.12118"
"23.10000","3.83744","12.17661"
"23.20000","3.85354","12.22990"
"23.30000","3.87016","12.28816"
"23.40000","3.88703","12.34981"
"23.50000","3.90417","12.42837"
"23.60000","3.92020","12.46437"
"23.70000","3.93727","12.54128"
"23.80000","3.95418","12.59449"
"23.90000","3.97087","12.63837"
"24.00000","3.98661","12.69595"
"24.10000","4.00427","12.76990"
"24.20000","4.02061","12.82641"
"24.30000","4.03735","12.87905"
"24.40000","4.05310","12.94919"
"24.50000","4.07061","13.00717"
"24.60000","4.08730","13.08123"
"24.70000","4.10365","13.12810"
"24.80000","4.12039","13.20749"
"24.90000","4.13701","13.25755"
"25.00000","4.15414","13.33248"
"25.10000","4.17001","13.38546"
"25.20000","4.18762","13.45741"
"25.30000","4.20385","13.49891"
"25.40000","4.22070","13.57119"
"25.50000","4.23682","13.61991"
"25.60000","4.25401","13.71029"
"25.70000","4.27078","13.76519"
"25.80000","4.28706","13.80412"
"25.90000","4.30349","13.89113"
"26.00000","4.32086","13.93839"
"26.10000","4.33736","14.01713"
"26.20000","4.35345","14.06039"
"26.30000","4.37056","14.15743"
"26.40000","4.38731","14.21243"
"26.50000","4.40429","14.28910"
"26.60000","4.41988","14.32568"
"26.70000","4.43793","14.40024"
"26.80000","4.45391","14.48612"
"26.90000","4.47043","14.54614"
"27.00000","4.48640","14.60124"
"27.10000","4.50392","14.68485"
"27.20000","4.52097","14.72502"
"27.30000","4.53656","14.79877"
"27.40000","4.55403","14.88330"
"27.50000","4.57042","14.93175"
"27.60000","4.58745","15.01253"
"27.70000","4.60339","15.07496"
"27.80000","4.62087","15.15858"
"27.90000","4.63742","15.20767"
"28.00000","4.65390","15.29402"
"28.10000","4.67002","15.34452"
"28.20000","4.68776","15.41942"
"28.30000","4.70403","15.49736"
"28.40000","4.72026","15.56232"
"28.50000","4.73661","15.63154"
"28.60000","4.75401","15.69615"
"28.70000","4.77095","15.77125"
"28.80000","4.78654","15.82778"
"28.90000","4.80411","15.92106"
"29.00000","4.82040","15.96502"
"29.10000","4.83730","16.05796"
"29.20000","4.85324","16.11992"
"29.30000","4.87100","16.23368"
"29.40000","4.88740","16.29169"
"29.50000","4.90371","16.34321"
"29.60000","4.92007","16.42924"
"29.70000","4.93755","16.51784"
"29.80000","4.95383","16.58193"
"29.90000","4.97026","16.64191"
"30.00000","4.98694","16.71655"
"30.10000","5.00418","16.81204"
"30.20000","5.02093","16.88356"
"30.30000","5.03663","16.95416"
"30.40000","5.05417","17.04219"
"30.50000","5.07060","17.10339"
"30.60000","5.08750","17.19254"
"30.70000","5.10303","17.24589"
"30.80000","5.12060","17.34599"
"30.90000","5.13746","17.42392"
"31.00000","5.15351","17.48476"
"31.10000","5.17011","17.58112"
"31.20000","5.18705","17.65667"
"31.30000","5.20394","17.74168"
"31.40000","5.22010","17.80705"
"31.50000","5.23710","17.89496"
"31.60000","5.25406","17.98618"
"31.70000","5.27086","18.06817"
"31.80000","5.28678","18.15225"
"31.90000","5.30426","18.21853"
"32.00000","5.32061","18.31294"
"32.10000","5.33754","18.36132"
"32.20000","5.35320","18.45283"
"32.30000","5.37078","18.52297"
"32.40000","5.38709","18.63654"
"32.50000","5.40370","18.70031"
"32.60000","5.42026","18.81045"
"32.70000","5.43695","18.86602"
"32.80000","5.45405","18.95692"
"32.90000","5.47016","19.01827"
"33.00000","5.48749","19.12908"
"33.10000","5.50396","19.22558"
"33.20000","5.52076","19.28694"
"33.30000","5.53676","19.37879"
"33.40000","5.55417","19.47317"
"33.50000","5.57063","19.57134"
"33.60000","5.58721","19.63563"
"33.70000","5.60336","19.73345"
"33.80000","5.62070","19.82066"
"33.90000","5.63741","19.90402"
"34.00000","5.65342","19.97523"
"34.10000","5.67052","20.08577"
"34.20000","5.68733","20.17539"
"34.30000","5.70437","20.27182"
"34.40000","5.71989","20.31804"
"34.50000","5.73774","20.43096"
"34.60000","5.75399","20.50560"
"34.70000","5.77058","20.60024"
"34.80000","5.78652","20.68439"
"34.90000","5.80395","20.77751"
"35.00000","5.82082","20.88684"
"35.10000","5.83661","20.95293"
"35.20000","5.85370","21.07915"
"35.30000","5.87068","21.14643"
"35.40000","5.88751","21.25604"
"35.50000","5.90325","21.33109"
"35.60000","5.92087","21.44335"
"35.70000","5.93748","21.53851"
"35.80000","5.95411","21.63585"
"35.90000","5.97001","21.72798"
"36.00000","5.98791","21.84376"
