Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","140.01794"
"0.01000","-0.00001","139.93300"
"0.02000","-0.00014","139.93066"
"0.03000","-0.00065","140.04047"
"0.04000","-0.00199","139.78574"
"0.05000","-0.00491","140.00288"
"0.06000","-0.00957","139.56941"
"0.07000","-0.01470","139.82918"
"0.08000","-0.01952","139.42984"
"0.09000","-0.02432","139.66713"
"0.10000","-0.02977","139.37868"
"0.11000","-0.03642","139.42619"
"0.12000","-0.04443","139.29619"
"0.13000","-0.05365","139.10139"
"0.14000","-0.06367","139.14842"
"0.15000","-0.07410","138.74918"
"0.16000","-0.08459","138.94441"
"0.17000","-0.09493","138.48132"
"0.18000","-0.10494","138.72183"
"0.19000","-0.11458","138.29437"
"0.20000","-0.12382","138.45482"
"0.21000","-0.13268","138.20595"
"0.22000","-0.14127","138.20062"
"0.23000","-0.14970","138.15160"
"0.24000","-0.15809","137.93401"
"0.25000","-0.16647","138.05832"
"0.26000","-0.17487","137.66818"
"0.27000","-0.18326","137.92586"
"0.28000","-0.19158","137.49159"
"0.29000","-0.19985","137.74509"
"0.30000","-0.20815","137.39236"
"0.31000","-0.21651","137.52507"
"0.32000","-0.22490","137.31824"
"0.33000","-0.23332","137.25685"
"0.34000","-0.24172","137.26401"
"0.35000","-0.25005","136.98492"
"0.36000","-0.25830","137.16656"
"0.37000","-0.26653","136.76857"
"0.38000","-0.27480","137.03699"
"0.39000","-0.28313","136.61620"
"0.40000","-0.29153","136.84909"
"0.41000","-0.29998","136.49858"
"0.42000","-0.30844","136.55354"
"0.43000","-0.31683","136.39221"
"0.44000","-0.32518","136.25580"
"0.45000","-0.33355","136.31874"
"0.46000","-0.34195","136.01529"
"0.47000","-0.35035","136.24207"
"0.48000","-0.35875","135.82214"
"0.49000","-0.36713","136.10803"
"0.50000","-0.37547","135.72560"
"0.51000","-0.38375","135.94574"
"0.52000","-0.39200","135.69876"
"0.53000","-0.40029","135.75941"
"0.54000","-0.40860","135.69505"
"0.55000","-0.41694","135.53255"
"0.56000","-0.42531","135.68153"
