# time (s), duty, act pres, tank pres, d4, d5, pres err
0.02, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.04, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.06, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.08, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.10, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.12, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.14, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.16, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.18, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.20, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.22, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.24, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.26, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.28, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.30, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.32, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.34, 0.00, 0.01, 66.80, 0.00, 0.00, 0.00
0.35, 0.00, 0.03, 66.80, 0.00, 0.00, 0.01
0.38, 0.00, 0.04, 66.80, 0.00, 0.00, 0.03
0.39, 0.00, 0.04, 66.80, 0.00, 0.00, 0.05
0.41, 0.00, 0.03, 66.80, 0.00, 0.00, 0.04
0.43, 0.00, 0.01, 66.80, 0.00, 0.00, 0.02
0.45, 0.00, 0.00, 66.80, 0.00, 0.00, 0.01
0.47, 0.00, 0.00, 66.80, 0.00, 0.00, 0.01
0.49, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.51, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.53, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.55, 0.00, 0.00, 66.80, 0.00, 0.00, 0.00
0.57, 15.28, 0.00, 66.80, 0.00, 0.00, -2.11
0.59, 15.28, 0.00, 66.80, 0.00, 0.00, -2.11
0.61, 15.27, 0.01, 66.80, 0.00, 0.00, -2.11
0.63, 15.26, 0.09, 66.80, 0.00, 0.00, -2.07
0.65, 15.20, 0.25, 66.80, 0.00, 0.00, -1.96
0.67, 15.20, 0.45, 66.80, 0.00, 0.00, -1.96
0.69, 15.05, 0.59, 66.80, 0.00, 0.00, -1.66
0.71, 15.13, 0.61, 66.78, -0.15, 0.00, -1.52
0.73, 15.27, 0.61, 66.72, -0.30, 0.00, -1.50
