Time,Load
(s),(N)
"0.00000","4.80491"
"0.01000","4.81214"
"0.02000","4.80908"
"0.03000","4.80179"
"0.04000","4.80418"
"0.05000","4.81714"
"0.06000","4.81860"
"0.07000","4.81530"
"0.08000","4.81324"
"0.09000","4.81562"
"0.10000","4.81465"
"0.11000","4.80888"
"0.12000","4.80220"
"0.13000","4.80716"
"0.14000","4.81185"
"0.15000","4.81128"
"0.16000","4.81039"
"0.17000","4.81495"
"0.18000","4.81474"
"0.19000","4.80956"
"0.20000","4.81379"
"0.21000","4.82659"
"0.22000","4.83221"
"0.23000","4.81681"
"0.24000","4.80846"
"0.25000","4.81100"
"0.26000","4.81896"
"0.27000","4.81367"
"0.28000","4.81692"
"0.29000","4.82149"
"0.30000","4.83161"
"0.31000","4.83117"
"0.32000","4.82388"
"0.33000","4.81805"
"0.34000","4.81914"
"0.35000","4.81269"
"0.36000","4.80649"
"0.37000","4.81008"
"0.38000","4.81986"
"0.39000","4.81562"
"0.40000","4.80572"
"0.41000","4.80569"
"0.42000","4.81403"
"0.43000","4.81801"
"0.44000","4.81408"
"0.45000","4.81063"
"0.46000","4.81611"
"0.47000","4.82079"
"0.48000","4.81389"
"0.49000","4.81551"
"0.50000","4.82357"
"0.51000","4.82913"
"0.52000","4.81904"
"0.53000","4.81119"
"0.54000","4.81898"
"0.55000","4.83826"
"0.56000","4.83520"
"0.57000","4.82633"
"0.58000","4.82907"
"0.59000","4.83860"
"0.60000","4.83095"
"0.61000","4.81156"
"0.62000","4.80909"
"0.63000","4.82258"
"0.64000","4.82381"
"0.65000","4.81185"
"0.66000","4.80055"
"0.67000","4.79893"
"0.68000","4.80813"
"0.69000","4.81144"
"0.70000","4.81665"
"0.71000","4.82570"
"0.72000","4.83410"
"0.73000","4.83196"
"0.74000","4.82302"
"0.75000","4.82098"
"0.76000","4.83003"
"0.77000","4.82693"
"0.78000","4.82502"
"0.79000","4.82679"
"0.80000","4.82818"
"0.81000","4.81581"
"0.82000","4.80946"
"0.83000","4.80692"
"0.84000","4.81018"
"0.85000","4.81005"
"0.86000","4.81981"
"0.87000","4.82874"
"0.88000","4.83562"
"0.89000","4.83371"
"0.90000","4.82191"
"0.91000","4.81212"
"0.92000","4.81696"
"0.93000","4.82219"
"0.94000","4.81369"
"0.95000","4.80920"
"0.96000","4.81302"
"0.97000","4.82259"
"0.98000","4.81638"
"0.99000","4.81004"
"1.00000","4.81370"
"1.01000","4.82067"
"1.02000","4.81586"
"1.03000","4.80674"
"1.04000","4.80036"
"1.05000","4.80814"
"1.06000","4.81008"
"1.07000","4.80609"
"1.08000","4.80483"
"1.09000","4.81966"
"1.10000","4.82366"
"1.11000","4.82368"
"1.12000","4.82032"
"1.13000","4.82568"
"1.14000","4.82334"
"1.15000","4.81694"
"1.16000","4.81104"
"1.17000","4.81198"
"1.18000","4.81321"
"1.19000","4.80606"
"1.20000","4.80763"
"1.21000","4.81786"
"1.22000","4.83151"
"1.23000","4.82627"
"1.24000","4.81854"
"1.25000","4.81808"
"1.26000","4.82146"
"1.27000","4.81424"
"1.28000","4.80529"
"1.29000","4.80823"
"1.30000","4.82103"
"1.31000","4.82085"
"1.32000","4.81356"
"1.33000","4.80747"
"1.34000","4.80652"
"1.35000","4.80308"
"1.36000","4.80101"
"1.37000","4.80367"
"1.38000","4.80736"
"1.39000","4.80947"
"1.40000","4.79976"
"1.41000","4.79707"
"1.42000","4.81092"
"1.43000","4.81949"
"1.44000","4.81302"
"1.45000","4.80733"
"1.46000","4.81026"
"1.47000","4.82601"
"1.48000","4.83001"
"1.49000","4.82375"
"1.50000","4.82297"
"1.51000","4.82272"
"1.52000","4.80985"
"1.53000","4.80238"
"1.54000","4.80707"
"1.55000","4.82033"
"1.56000","4.82235"
"1.57000","4.81740"
"1.58000","4.81046"
"1.59000","4.81451"
"1.60000","4.81645"
"1.61000","4.80316"
"1.62000","4.79624"
"1.63000","4.80748"
"1.64000","4.82469"
"1.65000","4.82468"
"1.66000","4.81597"
"1.67000","4.81547"
"1.68000","4.82248"
"1.69000","4.81701"
"1.70000","4.81515"
"1.71000","4.81605"
"1.72000","4.82593"
"1.73000","4.81916"
"1.74000","4.80503"
"1.75000","4.79681"
"1.76000","4.80452"
"1.77000","4.81122"
"1.78000","4.80326"
"1.79000","4.80348"
"1.80000","4.81839"
"1.81000","4.82100"
"1.82000","4.80635"
"1.83000","4.80220"
"1.84000","4.81173"
"1.85000","4.82758"
"1.86000","4.83018"
"1.87000","4.82009"
"1.88000","4.82088"
"1.89000","4.83424"
"1.90000","4.83412"
"1.91000","4.81679"
"1.92000","4.80526"
"1.93000","4.80801"
"1.94000","4.80219"
"1.95000","4.79379"
"1.96000","4.80158"
"1.97000","4.81211"
"1.98000","4.80720"
"1.99000","4.79590"
"2.00000","4.79442"
"2.01000","4.80820"
"2.02000","4.81244"
"2.03000","4.80378"
"2.04000","4.80562"
"2.05000","4.81225"
"2.06000","4.82106"
"2.07000","4.81005"
"2.08000","4.79627"
"2.09000","4.79147"
"2.10000","4.80022"
"2.11000","4.80427"
"2.12000","4.80640"
"2.13000","4.80853"
"2.14000","4.81446"
"2.15000","4.81317"
"2.16000","4.80985"
"2.17000","4.80809"
"2.18000","4.82090"
"2.19000","4.82387"
"2.20000","4.81990"
"2.21000","4.81302"
"2.22000","4.81510"
"2.23000","4.81382"
"2.24000","4.80521"
"2.25000","4.80717"
"2.26000","4.80895"
"2.27000","4.79799"
"2.28000","4.78350"
"2.29000","4.77851"
"2.30000","4.79452"
"2.31000","4.81824"
"2.32000","4.82560"
"2.33000","4.82383"
"2.34000","4.82436"
"2.35000","4.82418"
"2.36000","4.81321"
"2.37000","4.80492"
"2.38000","4.80376"
"2.39000","4.80046"
"2.40000","4.79780"
"2.41000","4.79363"
"2.42000","4.80222"
"2.43000","4.82489"
"2.44000","4.82897"
"2.45000","4.81767"
"2.46000","4.81257"
"2.47000","4.81536"
"2.48000","4.81382"
"2.49000","4.81024"
"2.50000","4.80805"
"2.51000","4.80531"
"2.52000","4.81035"
"2.53000","4.80670"
"2.54000","4.80856"
"2.55000","4.80913"
"2.56000","4.81400"
"2.57000","4.81156"
"2.58000","4.80627"
"2.59000","4.80156"
"2.60000","4.80535"
"2.61000","4.80906"
"2.62000","4.81050"
"2.63000","4.80767"
"2.64000","4.82060"
"2.65000","4.82214"
"2.66000","4.81128"
"2.67000","4.80322"
"2.68000","4.80430"
"2.69000","4.80557"
"2.70000","4.80691"
"2.71000","4.81266"
"2.72000","4.81570"
"2.73000","4.81871"
"2.74000","4.81755"
"2.75000","4.80649"
"2.76000","4.80779"
"2.77000","4.81751"
"2.78000","4.81186"
"2.79000","4.79739"
"2.80000","4.79805"
"2.81000","4.81908"
"2.82000","4.82070"
"2.83000","4.81490"
"2.84000","4.81252"
"2.85000","4.80826"
"2.86000","4.79540"
"2.87000","4.78507"
"2.88000","4.78373"
"2.89000","4.79765"
"2.90000","4.80640"
"2.91000","4.80769"
"2.92000","4.81272"
"2.93000","4.81938"
"2.94000","4.82370"
"2.95000","4.81940"
"2.96000","4.81130"
"2.97000","4.80737"
"2.98000","4.81269"
"2.99000","4.80768"
"3.00000","4.80314"
"3.01000","4.80016"
"3.02000","4.80096"
"3.03000","4.79424"
